TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
스타트렉 비욘드,2016-08-17,1157472,0.0944
항거:유관순 이야기,2019-02-27,1156449,-0.2417
미씽: 사라진 여자,2016-11-30,1153109,-0.004
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,1149628,0.1232
용서는 없다,2010-01-07,1144238,0.006999999999999999
고령화 가족,2013-05-09,1139250,0.125
김종욱 찾기,2010-12-08,1130638,0.2519
하루,2017-06-15,1129018,0.0084
헝거게임: 캣칭 파이어,2013-11-21,1125739,0.0328
챔피언,2018-05-01,1125319,0.0932
성난 변호사,2015-10-08,1124918,0.1195
특수본,2011-11-24,1118258,0.1799
라이트 아웃,2016-08-24,1111158,-0.0048
회사원,2012-10-11,1110523,0.1099
간신,2015-05-21,1110246,0.0
박물관이 살아있다 : 비밀의 무덤,2015-01-14,1101678,0.1916
베스트셀러,2010-04-15,1099665,0.05
마루 밑 아리에티,2010-09-09,1083746,0.0877
퍼시픽 림: 업라이징,2018-03-21,1077235,0.0408
가디언즈,2012-11-29,1075584,0.0692
더 울버린,2013-07-25,1075333,-0.0448
몬스터 호텔 3,2018-08-08,1072006,0.4167
오빠생각,2016-01-21,1069436,0.0737
"날, 보러와요",2016-04-07,1061412,-0.1983
수상한 고객들,2011-04-14,1059350,0.1122
그놈이다,2015-10-28,1046313,0.0281
동창생,2013-11-06,1044522,0.0111
슈퍼 배드,2010-09-16,1043904,0.1126
점박이:한반도의 공룡3D,2012-01-26,1040636,0.0742
파괴된 사나이,2010-07-01,1030285,0.047
지오스톰,2017-10-19,1028384,0.0
오직 그대만,2011-10-20,1027622,0.0684
개구쟁이 스머프,2011-08-11,1027438,0.0817
로그 원: 스타워즈 스토리,2016-12-28,1019309,0.0404
본 레거시,2012-09-06,1015711,0.0061
더 넌,2018-09-19,1011580,-0.1343
심장이 뛴다,2011-01-05,1006947,0.0143
셔터 아일랜드,2010-03-18,1006833,-0.018000000000000002
라푼젤,2011-02-10,1006075,0.1306
스카이스크래퍼,2018-07-11,1002858,0.069
맨 인 더 다크,2016-10-05,999047,-0.0466
염력,2018-01-31,990104,0.0779
방가? 방가!,2010-09-30,989021,0.0577
방황하는 칼날,2014-04-10,987420,-0.1241
시체가 돌아왔다,2012-03-29,986547,0.0972
미쓰 와이프,2015-08-13,984265,0.1188
파퍼씨네 펭귄들,2011-09-07,979739,0.1674
로보캅,2014-02-13,979509,-0.0022
원더풀 라디오,2012-01-05,977470,0.1418
돈 크라이 마미,2012-11-22,975462,-0.1093
에픽 : 숲속의 전설,2013-08-07,973703,
"고산자, 대동여지도",2016-09-07,971194,0.0801
우리는 형제입니다,2014-10-23,970373,0.2024
프로메테우스,2012-06-06,970275,0.0724
전국노래자랑,2013-05-01,963634,0.0799
스타워즈: 라스트 제다이,2017-12-14,959577,-0.0072
잭 더 자이언트 킬러,2013-02-28,956154,0.1259
허삼관,2015-01-14,955175,0.0459
스텝업4 : 레볼루션,2012-08-15,953871,0.0187
불한당: 나쁜 놈들의 세상,2017-05-17,951797,0.0424
새미의 어드벤쳐,2010-12-15,946615,0.0446
월터의 상상은 현실이 된다,2013-12-31,941672,0.3237
크루즈 패밀리,2013-05-16,941615,0.2156
