TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
인사이드 아웃,2015-07-09,7,3,28,101.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0.0,164.0,42.725609756097604,3102.0,0.0,4968687
킹스맨: 골든 서클,2017-09-27,9,3,39,140.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,,664.0,34.710843373494,24898.0,0.0,4945484
바람과 함께 사라지다,2012-08-08,8,3,32,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0.0,128.0,32.921875,0.0,0.0,4897551
마션,2015-10-08,10,4,41,142.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,0.0,617.0,43.2998379254457,6812.0,1.0,4875494
토르: 라그나로크,2017-10-25,10,4,43,130.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,515.0,40.8407766990291,13239.0,0.0,4857152
어메이징 스파이더맨,2012-06-28,6,2,26,136.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1063.0,27.1495766698024,0.0,0.0,4853123
"님아, 그 강을 건너지 마오",2014-11-27,11,4,48,85.0,한국,CGV아트하우스,다큐멘터리,전체관람가,0.0,191.0,58.1623036649215,8651.0,0.0,4801355
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,1,1,4,115.0,한국,(주)쇼박스,코미디,12세이상관람가,1.0,466.0,24.596566523605198,0.0,1.0,4786259
군도: 민란의 시대,2014-07-23,7,3,30,137.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1738.0,31.5368239355581,14319.0,0.0,4774895
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,2,1,5,133.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,227.0,27.2070484581498,0.0,0.0,4710454
주토피아,2016-02-17,2,1,7,108.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,,687.0,30.344978165938898,2474.0,0.0,4703245
엣지 오브 투모로우,2014-06-04,6,2,23,113.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,365.0,36.178082191780796,2528.0,1.0,4697142
신세계,2013-02-21,2,1,8,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,0.0,582.0,40.4312714776632,0.0,0.0,4682492
