TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
반 고흐: 위대한 유산,핌 반 호브,2014-10-30,2014,10,30,3,4,44,115.0,네덜란드,(주)팝엔터테인먼트,드라마,,12세이상관람가,바리 아츠마,예로엔 크라베,,0.0,0,20.0,9.75,195.0,652.0,0.0,8497
시리어스 맨,에단 코엔/조엘 코엔,2010-03-25,2010,3,25,3,1,12,105.0,미국,(주)스폰지이엔티,드라마/코미디,en/he/yi,15세이상관람가,마이클 스털버그,리차드 카인드,7000000.0,0.0,1,7.0,9.33,65.31,0.0,0.0,8489
내일의 안녕,훌리오 메뎀,2017-08-17,2017,8,17,3,3,33,111.0,스페인/프랑스,TCO(주)더콘텐츠온/주식회사 더쿱,드라마,,15세이상관람가,페넬로페 크루즈,루이스 토사,,0.0,0,7.0,8.57,59.99,275.0,0.0,8481
사운드 오브 노이즈,올라 시몬손/요하네스 슈테르네 닐슨,2011-09-29,2011,9,29,3,3,39,102.0,스웨덴/프랑스,㈜씨에이엔,로맨스/멜로/범죄/스릴러/코미디,,12세이상관람가,벵트 닐슨,,,0.0,1,5.0,7.0,35.0,0.0,0.0,8461
날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별,야노 히로유키,2013-02-07,2013,2,7,3,1,6,46.0,일본,씨너스엔터테인먼트(주),SF/가족/애니메이션,,전체관람가,토다 케이코,마츠유키 야스코,,0.0,0,30.0,7.1,213.0,0.0,0.0,8397
돈 조반니,카를로스 사우라,2010-10-14,2010,10,14,3,4,41,127.0,스페인/이탈리아,(주)디지탈케이아이엔,드라마,,15세이상관람가,로렌조 발두치,에밀리아 베르기넬리,,0.0,0,1.0,10.0,10.0,0.0,0.0,8392
극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드,사카모토 코이치,2018-12-06,2018,12,6,3,4,49,63.0,일본,(주)이수C&E,애니메이션,,전체관람가,남도형,장민혁,,0.0,0,8.0,9.88,79.04,37.0,0.0,8375
에브리띵 윌 비 파인,빔 벤더스,2015-12-31,2015,12,31,3,4,53,118.0,노르웨이/독일/스웨덴/캐나다/프랑스,찬란,드라마,,12세이상관람가,제임스 프랭코,레이첼 맥아담스,,0.0,0,45.0,8.87,399.15,472.0,0.0,8368
노트르담 드 파리,정성복,2017-11-01,2017,11,1,2,4,44,129.0,한국,(주)패뷸러스,공연/뮤지컬,fr,전체관람가,,,,0.0,0,2.0,10.0,20.0,120.0,0.0,8350
스위치: 부춘산거도,손건군,2014-01-29,2014,1,29,2,1,5,113.0,중국,(주)팝엔터테인먼트,액션,,청소년관람불가,유덕화,장정초,,0.0,0,17.0,6.29,106.93,0.0,0.0,8350
고스트 스토리,데이빗 로워리,2017-12-28,2017,12,28,3,4,52,92.0,미국,(주)리틀빅픽쳐스/주식회사 더쿱,로맨스/멜로/판타지,en,12세이상관람가,케이시 애플렉,루니 마라,100000.0,0.0,1,64.0,7.41,474.24,284.0,0.0,8339
위대한 비행,진재운,2012-10-18,2012,10,18,3,4,42,95.0,한국,롯데쇼핑㈜롯데엔터테인먼트,다큐멘터리,,전체관람가,정진화,박성우,,0.0,0,2.0,0.0,0.0,0.0,0.0,8321
아이언 스카이,티모 부오렌솔라,2012-10-25,2012,10,25,3,4,43,93.0,핀란드,(주)팝파트너스,SF,de/en,15세이상관람가,줄리아 디에체,페타 서긴트,7500000.0,1.0,0,435.0,6.56,2853.6,0.0,0.0,8308
"가자, 장미여관으로",신정균,2013-08-14,2013,8,14,2,3,33,87.0,한국,(주)팝파트너스,드라마/로맨스/멜로,,청소년관람불가,성은채,장성원,,0.0,0,30.0,7.43,222.9,0.0,0.0,8307
귀담백경,나이토 에이스케/나카무라 요시히로/시라이시 코지/아사토 마리/오하타 하지메/이와사와 히로키,2016-10-19,2016,10,19,2,4,42,100.0,일본,(주)박수엔터테인먼트,공포(호러),,15세이상관람가,다케우치 유코,후지모토 이즈미,,0.0,0,36.0,8.11,291.96,296.0,1.0,8297
엑시덴탈 러브,데이빗 O. 러셀,2015-05-07,2015,5,7,3,2,19,100.0,미국/영국,(주)프레인글로벌,로맨스/멜로/코미디,,15세이상관람가,제이크 질렌할,제시카 비엘,,0.0,0,42.0,8.31,349.02000000000015,523.0,0.0,8291
타임 투게더,마크 윌리엄스,2017-11-16,2017,11,16,3,4,46,110.0,캐나다,(주)레인메이커필름/(주)스톰픽쳐스코리아/TCO(주)더콘텐츠온,드라마,,12세이상관람가,제라드 버틀러,알리슨 브리,,0.0,0,62.0,9.47,587.14,524.0,0.0,8281
마라,클라이브 톤지,2018-10-18,2018,10,18,3,4,42,98.0,미국,(주)스톰픽쳐스코리아,공포(호러)/스릴러,,12세이상관람가,올가 쿠릴렌코,랜스 E. 니콜스,,0.0,0,100.0,6.88,688.0,93.0,0.0,8272
신밧드 더 무비,미야시타 신페이,2016-12-01,2016,12,1,3,4,48,113.0,일본,와이드 릴리즈(주),애니메이션,,전체관람가,,,,0.0,0,12.0,7.25,87.0,68.0,0.0,8262
춤추는 숲,강석필,2013-05-23,2013,5,23,3,2,21,94.0,한국,스튜디오느림보,다큐멘터리,,전체관람가,강석필,강이헌,,0.0,1,29.0,9.04,262.16,0.0,0.0,8253
슬리핑 위드 아더 피플,레슬리 헤드랜드,2015-10-22,2015,10,22,3,4,43,101.0,미국,오퍼스픽쳐스(유),로맨스/멜로/코미디,,청소년관람불가,알리슨 브리,제이슨 서디키스,,0.0,0,35.0,9.6,336.0,243.0,0.0,8252
마더 앤 차일드,로드리고 가르시아,2011-04-28,2011,4,28,3,2,17,125.0,미국,(주)바른손이앤에이,드라마,,청소년관람불가,사무엘 L. 잭슨,나오미 왓츠,,0.0,0,3.0,9.67,29.01,0.0,0.0,8252
홈,김종우,2018-05-30,2018,5,30,2,2,22,99.0,한국,(주)리틀빅픽쳐스,가족/드라마,ko,전체관람가,이효제,허준석,,0.0,0,11.0,9.0,99.0,155.0,0.0,8243
나홀로 휴가,조재현,2016-09-22,2016,9,22,3,3,38,94.0,한국,(주)리틀빅픽쳐스,로맨스/멜로,ko,청소년관람불가,박혁권,윤주,,0.0,0,63.0,8.11,510.93,946.0,0.0,8220
그때 그들,파올로 소렌티노,2019-03-07,2019,3,7,3,1,10,156.0,이탈리아,(주)영화사 진진,드라마/코미디,it,청소년관람불가,토니 세르빌로,리카르도 스카마르치오,,0.0,0,4.0,9.25,37.0,47.0,0.0,8200
닌자보이 란타로 극장판 : 시끌벅적 방학숙제 대소동,후지모리 마사야,2012-02-23,2012,2,23,3,1,8,79.0,일본,팝엔터테인먼트,애니메이션/액션/코미디,,전체관람가,타카야마 미나미,,,0.0,0,38.0,9.11,346.17999999999995,0.0,0.0,8185
유다의 사자 : 부활절 대모험,데릭 브룸/로저 호킨스,2013-03-28,2013,3,28,3,1,13,85.0,미국,예지림엔터테인먼트,애니메이션,,전체관람가,마이클 매드슨,어네스트 보그나인,,0.0,0,23.0,8.74,201.02,0.0,0.0,8180
두갈: 마법의 회전목마,데이브 보스윅/진 듀발/프랭크 패싱햄,2014-03-06,2014,3,6,3,1,10,81.0,영국,브릿지웍스 엔터테인먼트(주),가족/애니메이션/어드벤처/코미디/판타지,,전체관람가,로비 윌리엄스,조안나 럼리,,0.0,0,67.0,7.69,515.23,0.0,0.0,8171
더 리치,진-밥티스트 레오네티,2015-07-16,2015,7,16,3,3,29,91.0,미국,(주)나이너스엔터테인먼트,스릴러/액션,,15세이상관람가,마이클 더글라스,제레미 어바인,,0.0,0,263.0,8.01,2106.63,579.0,1.0,8153
