TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE,NAVER_PRE_EVAL
R2B: 리턴투베이스,2012-08-15,1201640,0.2547723935389133,8.97
해빙,2017-03-01,1201576,0.22921914357682616,9.16
더 웹툰: 예고살인,2013-06-27,1201033,0.36130007558578986,8.6
바람 바람 바람,2018-04-05,1183959,0.5089605734767025,8.58
나니아 연대기: 새벽 출정호의 항해,2010-12-08,1182228,0.26714801444043323,9.39
빅매치,2014-11-27,1177438,0.3758915834522111,8.77
웜 바디스,2013-03-14,1169839,0.3867109634551495,9.54
"당신, 거기 있어줄래요",2016-12-14,1168625,0.4846895618338691,9.48
동주,2016-02-17,1168427,0.4599033816425121,9.28
돈의 맛,2012-05-17,1165488,0.2777777777777778,7.2
워크래프트: 전쟁의 서막,2016-06-09,1163120,0.2541462275169353,9.23
장수상회,2015-04-09,1160935,0.5036154827732879,9.23
가문의 영광5 - 가문의 귀환,2012-12-19,1160021,0.3984039287906691,8.37
슬로우 비디오,2014-10-02,1159787,0.4793814432989691,9.07
스타트렉 비욘드,2016-08-17,1157472,0.3993355481727575,9.3
항거:유관순 이야기,2019-02-27,1156449,0.3088803088803089,6.61
미씽: 사라진 여자,2016-11-30,1153109,0.4908675799086758,9.29
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,1149628,0.37662337662337664,9.03
용서는 없다,2010-01-07,1144238,0.3194888178913738,8.69
고령화 가족,2013-05-09,1139250,0.4944903581267218,8.81
