DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
조진규,1,1,2,128.0,한국,(주)쇼박스,코미디,15세이상관람가,박신양,0.0,823.0,0.0,0.0,3893216
루벤 플레셔,10,4,40,107.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,기타,1.0,269.0,2105.0,0.0,3888096
김석윤,2,1,7,124.0,한국,(주)쇼박스,사극,12세이상관람가,기타,1.0,310.0,7406.0,0.0,3872015
기타,4,2,18,135.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,기타,0.0,1281.0,6255.0,1.0,3849433
기타,5,2,20,120.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,기타,1.0,255.0,2005.0,0.0,3842441
황동혁,10,4,40,140.0,한국,씨제이이앤엠(주),사극,15세이상관람가,이병헌,0.0,711.0,8809.0,1.0,3829891
기타,5,2,20,117.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,기타,1.0,199.0,2012.0,0.0,3784602
기타,10,4,40,109.0,한국,(주)쇼박스,범죄,15세이상관람가,김윤석,0.0,329.0,1474.0,0.0,3772620
기타,11,4,48,114.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,기타,0.0,312.0,1172.0,0.0,3754983
알렉스 커츠먼,6,2,23,110.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,톰 크루즈,0.0,353.0,6513.0,0.0,3689325
기타,4,2,15,136.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,기타,1.0,328.0,9867.0,0.0,3653238
기타,1,1,1,106.0,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,기타,0.0,2372.0,22244.0,1.0,3637122
기타,9,3,39,121.0,미국,워너브러더스 코리아(주),코미디,12세이상관람가,기타,0.0,140.0,5224.0,0.0,3610642
기타,12,4,49,127.0,미국,판씨네마(주),드라마,12세이상관람가,기타,0.0,104.0,2565.0,0.0,3597193
기타,2,1,8,127.0,한국,(주)와우픽쳐스,드라마,15세이상관람가,손숙,1.0,1486.0,47687.0,0.0,3586523
기타,10,4,41,127.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,기타,,381.0,0.0,1.0,3579666
기타,7,3,27,117.0,한국,(주)쇼박스,범죄,청소년관람불가,기타,0.0,493.0,2407.0,0.0,3562123
기타,1,1,2,126.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,기타,0.0,509.0,4467.0,0.0,3510017
기타,1,1,3,100.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,기타,0.0,291.0,0.0,0.0,3450941
기타,5,2,22,110.0,한국,(주)쇼박스,액션,15세이상관람가,기타,0.0,995.0,1320.0,0.0,3450143
기타,8,3,33,103.0,미국,판씨네마(주),멜로,15세이상관람가,기타,0.0,454.0,1276.0,0.0,3427464
기타,9,3,36,121.0,한국,씨제이이앤엠(주),액션,15세이상관람가,기타,0.0,755.0,0.0,0.0,3423920
기타,1,1,3,120.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,이병헌,0.0,321.0,5829.0,0.0,3417629
기타,7,3,28,163.0,한국,씨제이엔터테인먼트,드라마,청소년관람불가,기타,0.0,672.0,0.0,1.0,3408144
기타,3,1,12,115.0,한국,(주)쇼박스,범죄,15세이상관람가,류준열,0.0,171.0,2278.0,1.0,3389046
기타,6,2,24,120.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,차승원,0.0,3354.0,0.0,0.0,3385706
기타,5,2,21,106.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,기타,1.0,303.0,0.0,0.0,3379762
기타,12,4,49,123.0,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,기타,0.0,296.0,0.0,0.0,3375735
기타,7,3,30,89.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,스티브 카렐,,182.0,7863.0,0.0,3324861
기타,2,1,7,107.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,기타,1.0,1377.0,14601.0,0.0,3317196
기타,9,3,38,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,기타,0.0,456.0,6377.0,0.0,3280243
기타,12,4,51,135.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,기타,1.0,608.0,14170.0,0.0,3273879
기타,4,2,14,137.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,기타,1.0,724.0,7601.0,0.0,3247558
기타,7,3,27,125.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1.0,1294.0,28154.0,0.0,3239371
기타,10,4,42,90.0,미국,기타,SF,12세이상관람가,기타,0.0,582.0,0.0,0.0,3227452
기타,6,2,26,125.0,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,김다미,0.0,79.0,275.0,0.0,3189091
기타,6,2,24,116.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,권상우,1.0,157.0,760.0,0.0,3148038
기타,5,2,20,137.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,이안 맥쉐인,1.0,1022.0,0.0,1.0,3130046
기타,7,3,29,115.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,이새별,0.0,414.0,0.0,0.0,3125069
기타,8,3,33,121.0,한국,기타,드라마,15세이상관람가,기타,0.0,2066.0,0.0,0.0,3119023
기타,7,3,28,129.0,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,기타,1.0,1293.0,9865.0,0.0,3100113
기타,1,1,4,115.0,한국,씨제이엔터테인먼트,드라마,12세이상관람가,기타,0.0,800.0,0.0,0.0,3068544
기타,5,2,21,128.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,기타,1.0,996.0,12939.0,0.0,3049894
이병헌,3,1,13,115.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,김우빈,0.0,813.0,27413.0,0.0,3044134
기타,10,4,44,111.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,기타,1.0,717.0,0.0,0.0,3039889
기타,6,2,22,124.0,한국,씨제이엔터테인먼트,사극,청소년관람불가,기타,0.0,195.0,0.0,0.0,3035116
브래드 버드,7,3,29,125.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,크레이그 T. 넬슨,1.0,152.0,1400.0,0.0,3033052
기타,7,3,29,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1.0,393.0,0.0,0.0,3004647
기타,12,4,48,114.0,한국,씨제이이앤엠(주),공포,12세이상관람가,기타,0.0,289.0,0.0,0.0,3001530
기타,7,3,30,101.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,680.0,4265.0,0.0,3000056
기타,11,4,47,109.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,기타,0.0,819.0,25600.0,0.0,2982022
기타,11,4,46,123.0,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,기타,1.0,2140.0,0.0,0.0,2971475
기타,11,4,48,135.0,한국,(주)인벤트스톤,액션,15세이상관람가,진구,0.0,15748.0,0.0,1.0,2963449
기타,8,3,35,102.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,12세이상관람가,기타,0.0,24.0,175.0,0.0,2949944
장훈,7,3,29,133.0,한국,(주)쇼박스,드라마,15세이상관람가,기타,0.0,551.0,0.0,0.0,2945137
브라이언 싱어,5,2,21,145.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,1.0,754.0,14705.0,0.0,2938818
기타,3,1,12,124.0,한국,(주)쇼박스,범죄,청소년관람불가,기타,0.0,1488.0,8022.0,0.0,2931897
기타,7,3,30,99.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,스릴러,15세이상관람가,기타,0.0,119.0,0.0,0.0,2921331
기타,12,4,51,111.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,기타,0.0,495.0,0.0,0.0,2897477
기타,6,2,25,107.0,한국,(주)쇼박스,드라마,15세이상관람가,김윤석,0.0,235.0,9189.0,1.0,2860786
기타,4,2,18,98.0,한국,씨제이이앤엠(주),액션,15세이상관람가,류승룡,0.0,247.0,1717.0,0.0,2841788
페이튼 리드,9,3,36,116.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,폴 러드,1.0,411.0,6457.0,1.0,2839921
기타,12,4,51,144.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,기타,1.0,891.0,16936.0,0.0,2836774
기타,8,3,34,110.0,한국,메가박스중앙(주)플러스엠,멜로,12세이상관람가,기타,0.0,166.0,2034.0,0.0,2820029
기타,12,4,50,169.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,기타,,1074.0,0.0,0.0,2818993
기타,9,3,38,113.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,1.0,323.0,2750.0,1.0,2812427
