순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
654.0,몬스터,황인호,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,개봉영화,장편,한국,527,"4,136,202,515",526282.0,"1,110,307,115","135,839",스릴러,청소년관람불가,일반영화,Monster,2014.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,left_only
4228.0,몬스터즈,가렛 에드워즈,,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-05-29,개봉영화,장편,영국,20,"6,480,000",1080.0,"3,420,000",570,SF,15세이상관람가,일반영화,Monsters,2010.0,0.0,68.0,,,,,,,,,,,,,,,,,,,,left_only
4218.0,미녀들의전쟁,빠트리스 르꽁트,"고몽,까날 플러스,티피에스 스타",(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2010-06-24,개봉영화,장편,프랑스,7,"7,975,722",1088.0,"3,250,500",418,드라마,12세이상관람가,독립/예술영화,The War Of The Misses,2008.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
1861.0,바르다가사랑한얼굴들,"아녜스 바르다,제이알",,(주)영화사 진진,(주)영화사 진진,2018-06-14,개봉영화,장편,프랑스,53,"245,996,534",30392.0,"185,080,134","21,833",다큐멘터리,전체관람가,독립/예술영화,Faces Places,2017.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,left_only
3578.0,바비,이상우,(주)엘앤유인디컴미디어,,(주)미로비젼,2012-10-25,개봉영화,장편,한국,24,"17,341,500",2355.0,"12,327,500","1,633",드라마,청소년관람불가,독립/예술영화,Barbie,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2668.0,반고흐위대한유산,핌 반 호브,,주식회사 풍경소리,(주)팝엔터테인먼트,2014-10-30,개봉영화,장편,네덜란드,40,"63,998,500",8497.0,"35,361,000","4,784",드라마,12세이상관람가,독립/예술영화,The Van Gogh Legacy,2013.0,0.0,652.0,,,,,,,,,,,,,,,,,,,,left_only
1609.0,비밀,"박은경,이동하","영화사 도로시(주),(주)에스에이치기획",,CGV아트하우스,2015-10-15,개봉영화,장편,한국,305,"369,339,300",50196.0,"94,697,600","12,167",미스터리,15세이상관람가,일반영화,Circle of Atonement,2015.0,0.0,2057.0,,,,,,,,,,,,,,,,,,,,left_only
1759.0,사이드이펙트,스티븐 소더버그,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2013-07-11,개봉영화,장편,미국,172,"258,658,000",37134.0,"107,991,000","15,206",스릴러,청소년관람불가,일반영화,Side Effects,2013.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
648.0,사이코메트리,권호영,"(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",,씨제이이앤엠(주),2013-03-07,개봉영화,장편,한국,429,"3,964,769,129",531953.0,"1,133,052,129","145,312",미스터리,청소년관람불가,일반영화,The Gifted Hands,2013.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2919.0,서태지밴드콘서트투어콰이어트나이트,서태지,(주)서태지컴퍼니,,(주)서태지컴퍼니,2015-11-26,개봉영화,장편,한국,6,"52,669,600",5908.0,"42,698,600","4,775",공연,전체관람가,일반영화,,2015.0,0.0,251.0,,,,,,,,,,,,,,,,,,,,left_only
3082.0,설행눈길을걷다,김희정,(주)인스터,,(주)인디플러그,2016-03-03,개봉영화,장편,한국,72,"36,345,200",4959.0,"17,339,000","2,213",드라마,15세이상관람가,독립/예술영화,Snow Paths,2015.0,0.0,630.0,,,,,,,,,,,,,,,,,,,,left_only
984.0,송포유,폴 앤드류 윌리엄스,,(주)유이케이,(주)넥스트엔터테인먼트월드(NEW),2013-04-18,개봉영화,장편,영국,317,"1,484,169,000",216852.0,"588,610,500","84,339",코미디,12세이상관람가,일반영화,A Song for You,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2264.0,스톤,존 커랜,,(유)조이앤컨텐츠그룹,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10-06,개봉영화,장편,미국,77,"116,295,000",15241.0,"51,204,000","6,305",드라마,청소년관람불가,일반영화,Stone,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
233.0,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,"18,396,836,358",2315882.0,"5,393,002,858","648,385",액션,15세이상관람가,일반영화,Spy,2015.0,0.0,2016.0,,,,,,,,,,,,,,,,,,,,left_only
3953.0,신데렐라,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-12-01,개봉영화,장편,미국,11,"35,695,000",1544.0,"23,298,000","1,013",공연,전체관람가,일반영화,,2011.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,left_only
384.0,신들의전쟁,타셈 싱,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-11-10,개봉영화,장편,미국,525,"11,726,682,000",1338411.0,"4,049,820,000","437,778",드라마,청소년관람불가,일반영화,Immortals,2011.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3273.0,아웃사이더,브라이언 A 밀러,,(주)미디어데이,(주)미디어데이,2015-06-21,개봉영화,장편,미국,2,"18,555,000",3711.0,"18,555,000","3,711",액션,15세이상관람가,일반영화,The Outsider,2013.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,left_only
