순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1338,콜드 라잇 오브 데이,콜드라잇오브데이,마브룩 엘 메크리,,씨너스엔터테인먼트(주),씨너스엔터테인먼트(주),2012-05-17,개봉영화,장편,미국,245,"636,555,090",88522,"214,464,090","28,596",액션,15세이상관람가,일반영화
1339,살인자,살인자,이기욱,(주)홍필름,,(주)영화사 빅,2014-01-15,개봉영화,장편,한국,207,"656,849,000",88199,"93,792,500","11,952",스릴러,청소년관람불가,독립/예술영화
1340,레고 무비2,레고무비2,마이크 미첼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-02-06,개봉영화,장편,미국,442,"680,235,040",88083,"182,185,020","22,018",애니메이션,전체관람가,일반영화
1341,그대 이름은 장미,그대이름은장미,조석현,(주)엠씨엠씨,,(주)리틀빅픽쳐스,2019-01-16,개봉영화,장편,한국,540,"735,782,970",88054,"231,834,480","26,485",코미디,12세이상관람가,일반영화
1342,락 오브 에이지,락오브에이지,아담 쉥크만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-08-02,개봉영화,장편,미국,243,"634,870,496",87915,"249,357,455","33,412",뮤지컬,15세이상관람가,일반영화
1343,몬스터 콜,몬스터콜,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-09-14,개봉영화,장편,스페인,349,"686,273,900",87841,"299,085,800","36,865",판타지,12세이상관람가,독립/예술영화
1344,사우스포,사우스포,안톤 후쿠아,,(주)스마일이엔티,씨네그루(주)다우기술,2015-12-03,개봉영화,장편,미국,335,"649,386,248",87426,"210,497,148","26,835",드라마,15세이상관람가,일반영화
1345,갤로우즈,갤로우즈,"트래비스 클러프,크리스 로핑",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-03,개봉영화,장편,미국,299,"674,767,406",87301,"144,252,106","17,990",공포(호러),15세이상관람가,일반영화
1346,팅커 테일러 솔저 스파이,팅커테일러솔저스파이,토마스 알프레드슨,,(주)화인픽쳐스,팝엔터테인먼트,2012-02-09,개봉영화,장편,영국,187,"648,304,500",87155,"280,860,000","36,114",스릴러,15세이상관람가,일반영화
1347,셜록 놈즈,셜록놈즈,존 스티븐슨,,(주)다자인소프트,"씨네그루(주)키다리이엔티,(주)삼백상회",2018-10-03,개봉영화,장편,미국,440,"644,661,200",86784,"152,642,850","19,724",애니메이션,전체관람가,독립/예술영화
1348,허큘리스,허큘리스,브렛 래트너,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-08-06,개봉영화,장편,미국,278,"669,733,800",86528,"197,356,400","24,172",액션,15세이상관람가,일반영화
1349,플로리다 프로젝트,플로리다프로젝트,션 베이커,,오드,오드,2018-03-07,개봉영화,장편,미국,126,"726,925,600",86406,"476,695,400","55,275",드라마,15세이상관람가,독립/예술영화
1350,슈퍼 프렌즈,슈퍼프렌즈,"이경호,이원재",㈜디지아트프로덕션,,씨네그루(주)키다리이엔티,2016-08-10,개봉영화,장편,한국,255,"633,274,600",86293,"131,979,300","16,778",애니메이션,전체관람가,독립/예술영화
1351,숀더쉽,숀더쉽,"마크 버튼,리처드 스타잭",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2015-08-13,개봉영화,장편,영국,263,"592,435,000",85568,"144,352,300","19,454",애니메이션,전체관람가,독립/예술영화
1352,빅 아이즈,빅아이즈,팀 버튼,,판씨네마(주),판씨네마(주),2015-01-28,개봉영화,장편,미국,290,"651,316,335",85200,"333,321,635","42,902",드라마,12세이상관람가,독립/예술영화
1353,레전드 오브 래빗,레전드오브래빗,순리준,,(주)누리픽쳐스,(주)화앤담이엔티,2012-02-22,개봉영화,장편,중국,225,"581,200,500",85184,"122,319,500","16,874",애니메이션,전체관람가,일반영화
1354,유스,유스,파올로 소렌티노,,그린나래미디어(주),그린나래미디어(주),2016-01-07,개봉영화,장편,이탈리아,65,"661,767,600",85166,"449,133,200","55,637",드라마,15세이상관람가,독립/예술영화
