영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
어메이징스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,"1,118","41,163,951,235",4853123,"13,100,185,524","1,446,116",액션,12세이상관람가,일반영화,2012.0,0,0.0,both
님아그강을건너지마오,진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",2014-11-27,개봉영화,장편,한국,206,"37,354,452,679",4801355,"9,129,018,879","1,140,795",다큐멘터리,전체관람가,독립/예술영화,2014.0,0,8651.0,both
조선명탐정각시투구꽃의비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,개봉영화,장편,한국,611,"35,841,769,500",4786259,"10,712,744,000","1,363,857",코미디,12세이상관람가,일반영화,2011.0,1,0.0,both
군도민란의시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,(주)쇼박스,2014-07-23,개봉영화,장편,한국,"1,394","36,987,755,999",4774895,"9,976,707,399","1,239,945",사극,15세이상관람가,일반영화,2014.0,0,14319.0,both
범죄와의전쟁나쁜놈들전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,개봉영화,장편,한국,699,"36,479,147,500",4710454,"11,716,858,500","1,451,900",범죄,청소년관람불가,일반영화,2011.0,0,0.0,both
주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661,"37,077,444,042",4703245,"12,142,771,642","1,465,960",애니메이션,전체관람가,일반영화,2016.0,0,2474.0,both
엣지오브투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,801,"38,703,942,201",4697142,"12,201,872,401","1,401,887",액션,12세이상관람가,일반영화,2014.0,1,2528.0,both
신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,"34,881,330,905",4682492,"11,114,978,905","1,435,648",범죄,청소년관람불가,일반영화,2012.0,0,0.0,both
신비한동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,"1,431","39,337,263,058",4666993,"12,640,487,458","1,425,528",어드벤처,12세이상관람가,일반영화,2016.0,1,12840.0,both
도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",,씨제이이앤엠(주),2011-09-22,개봉영화,장편,한국,644,"35,566,854,800",4662822,"10,141,606,500","1,267,508",드라마,청소년관람불가,일반영화,2011.0,1,0.0,both
내아내의모든것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563,"34,222,160,500",4598583,"11,547,286,500","1,475,165",코미디,15세이상관람가,일반영화,2012.0,0,0.0,both
판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,"1,166","35,965,733,064",4571142,"7,213,559,964","880,999",드라마,12세이상관람가,일반영화,2016.0,0,8338.0,both
연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,개봉영화,장편,한국,759,"32,154,766,664",4513026,"7,819,583,000","1,040,068",공포(호러),15세이상관람가,일반영화,2012.0,0,0.0,both
아이언맨2,존 파브로,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,씨제이엔터테인먼트,2010-04-29,개봉영화,장편,미국,757,"33,161,943,100",4498335,"10,697,867,500","1,370,291",SF,12세이상관람가,일반영화,2010.0,0,0.0,both
강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426","35,477,912,466",4451336,"8,694,723,516","1,060,541",액션,15세이상관람가,일반영화,2017.0,0,5965.0,both
엑스맨데이즈오브퓨처패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,"1,056","34,654,558,766",4313871,"11,315,080,666","1,345,720",액션,12세이상관람가,일반영화,2014.0,1,4066.0,both
