순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
1762.0,에코플래닛3d지구구출특급대작전,콤핀 켐군니르드,,에이원엔터테인먼트,(주)인벤트스톤,2013-10-09,개봉영화,장편,태국,183,"231,294,000","36,811","55,041,000","8,456",애니메이션,전체관람가,독립/예술영화,Echo Planet,2012.0,0.0,0.0,both
5408.0,에투알갈라쇼,로레나 사르디,,에스디시코리아 주식회사,에스디시코리아 주식회사,2016-05-24,개봉영화,장편,이탈리아,12,"1,662,500",165,"966,000",86,공연,전체관람가,일반영화,GALA DES ETOILES,2015.0,0.0,31.0,both
4468.0,에프게니오네긴,데보라 워너,,(주)인스터피씨엠,(주)인스터피씨엠,2014-01-25,개봉영화,장편,미국,2,"19,761,000",768,"18,705,000",731,공연,전체관람가,일반영화,Eugene Onegin,2013.0,0.0,8.0,both
350.0,엑소더스신들과왕들,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-12-03,개봉영화,장편,미국,865,"12,444,133,926","1,511,145","3,884,573,126","451,543",드라마,12세이상관람가,일반영화,Exodus: Gods and Kings,2014.0,0.0,4163.0,both
9321.0,엑소시스트사탄의부활,토미 페어클로스,,(주)영화사 안다미로,(주)영화사 안다미로,2018-03-30,개봉영화,장편,미국,1,"1,000",1,0,0,공포(호러),15세이상관람가,일반영화,Family Possessions,2016.0,0.0,1.0,both
5715.0,엑소시즈머스,마누엘 카르발로,,주식회사 루믹스미디어,주식회사 루믹스미디어,2012-07-19,개봉영화,장편,스페인,0,"1,005,000",113,"963,000",107,공포(호러),청소년관람불가,일반영화,Exorcismus,2010.0,0.0,0.0,both
9322.0,엑소시즘2017,자레드 콘,,(주)케이알씨지,(주)케이알씨지,2017-01-02,개봉영화,장편,미국,1,"3,000",1,0,0,공포(호러),청소년관람불가,일반영화,Evil Born (12/12/12),2012.0,0.0,6.0,both
6064.0,엑소시즘로스트테이프,폴 카타라노토,,주식회사 루믹스미디어,주식회사 루믹스미디어,2016-07-19,개봉영화,장편,미국,1,"300,000",60,"300,000",60,공포(호러),청소년관람불가,일반영화,The Exorcism Tapes,2015.0,0.0,19.0,both
1390.0,엑스마키나,알렉스 가랜드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-21,개봉영화,장편,미국,207,"629,716,963","78,049","316,342,463","38,747",SF,청소년관람불가,일반영화,Ex Machina,2015.0,0.0,1073.0,both
103.0,엑스맨데이즈오브퓨처패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,"1,056","34,654,558,766","4,313,871","11,315,080,666","1,345,720",액션,12세이상관람가,일반영화,X-Men: Days of Future Past,2014.0,1.0,4066.0,both
