2019-07-04 14:46:26,344 : INFO : EPOCH 5 - PROGRESS: at 11.69% examples, 50400 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:27,424 : INFO : EPOCH 5 - PROGRESS: at 12.50% examples, 50057 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:28,674 : INFO : EPOCH 5 - PROGRESS: at 13.48% examples, 49555 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:29,783 : INFO : EPOCH 5 - PROGRESS: at 14.50% examples, 50043 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:31,032 : INFO : EPOCH 5 - PROGRESS: at 15.60% examples, 50323 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:32,053 : INFO : EPOCH 5 - PROGRESS: at 16.32% examples, 50108 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:33,179 : INFO : EPOCH 5 - PROGRESS: at 16.97% examples, 50330 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:34,244 : INFO : EPOCH 5 - PROGRESS: at 18.17% examples, 50352 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:35,543 : INFO : EPOCH 5 - PROGRESS: at 19.42% examples, 50207 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:36,653 : INFO : EPOCH 5 - PROGRESS: at 20.50% examples, 50426 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:37,805 : INFO : EPOCH 5 - PROGRESS: at 21.51% examples, 50539 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:39,029 : INFO : EPOCH 5 - PROGRESS: at 22.79% examples, 49807 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:40,080 : INFO : EPOCH 5 - PROGRESS: at 23.75% examples, 50150 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:41,088 : INFO : EPOCH 5 - PROGRESS: at 24.61% examples, 50101 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:42,150 : INFO : EPOCH 5 - PROGRESS: at 25.24% examples, 49893 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:43,242 : INFO : EPOCH 5 - PROGRESS: at 26.19% examples, 49595 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:44,245 : INFO : EPOCH 5 - PROGRESS: at 27.48% examples, 49605 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:45,257 : INFO : EPOCH 5 - PROGRESS: at 28.82% examples, 49590 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:46,351 : INFO : EPOCH 5 - PROGRESS: at 29.47% examples, 49419 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:47,373 : INFO : EPOCH 5 - PROGRESS: at 30.43% examples, 49371 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:48,501 : INFO : EPOCH 5 - PROGRESS: at 31.29% examples, 49310 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:49,509 : INFO : EPOCH 5 - PROGRESS: at 32.28% examples, 49181 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:50,540 : INFO : EPOCH 5 - PROGRESS: at 32.94% examples, 49182 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:51,874 : INFO : EPOCH 5 - PROGRESS: at 34.46% examples, 48822 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:52,972 : INFO : EPOCH 5 - PROGRESS: at 35.65% examples, 49035 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:54,416 : INFO : EPOCH 5 - PROGRESS: at 37.26% examples, 48869 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:55,670 : INFO : EPOCH 5 - PROGRESS: at 38.51% examples, 49021 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:46:56,733 : INFO : EPOCH 5 - PROGRESS: at 39.77% examples, 49149 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:57,751 : INFO : EPOCH 5 - PROGRESS: at 40.93% examples, 49039 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:46:59,009 : INFO : EPOCH 5 - PROGRESS: at 42.21% examples, 48831 words/s, in_qsize 8, out_qsize 0
