OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,CMT_SCORE,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
18,76,이탈리아,기타,드라마,12세이상관람가,0,5.09375020080676,0,0.455795677799607,8.31458729131958,8.53148578469775,4083,5071.97610373754
17,79,한국,기타,다큐멘터리,전체관람가,0,3.3322045101752,5.24702407216049,0.443037974683544,8.31238059678675,8.66782899008502,4074,5812.86585136419
48,98,미국,기타,범죄,15세이상관람가,0,4.90527477843843,0,0.457446808510638,8.31090675716845,8.70819954253846,4068,6052.33569940822
33,86,프랑스,기타,드라마,청소년관람불가,0,2.70805020110221,4.77912349311153,0.76,8.30943074214033,8.29418256236208,4062,4000.53172437844
1,107,미국,(주)시너지하우스 (시너지),드라마,15세이상관람가,0,6.05443934626937,0,0.441754916792738,8.30893825259578,10.5651079375243,4060,38758.5996853972
24,102,독일,기타,드라마,청소년관람불가,0,3.36729582998647,5.50125821054473,0.196969696969697,8.3039999709552,8.52904229297487,4040,5059.59790128585
14,105,미국,이십세기폭스코리아(주),드라마,15세이상관람가,0,3.36729582998647,0,0.610169491525424,8.30350479887278,9.85035123871271,4038,18965.0148797497
13,79,한국,기타,드라마,청소년관람불가,0,2.77258872223978,0,0.354838709677419,8.30127348519135,8.40575763908221,4029,4472.74520571676
29,99,한국,기타,다큐멘터리,15세이상관람가,0,4.11087386417331,5.77144112313002,0.225454545454545,8.30102525383845,8.57945309939377,4028,5321.19456484408
43,99,미국,기타,스릴러,청소년관람불가,0,5.71042701737487,6.21060007702465,0.188732394366197,8.30003171177957,8.71871348457918,4024,6116.30530323482
24,87,프랑스,기타,드라마,12세이상관람가,0,1.79175946922805,5.05624580534831,0.303571428571428,8.29529885950246,8.20889898742662,4005,3673.4956739651
3,83,한국,(주)인벤트스톤,범죄,청소년관람불가,0,7.49387388678356,0,0.238300935925126,8.29304913976844,10.2345180822296,3996,27848.0460254935
6,88,호주,기타,공포,청소년관람불가,0,4.29045944114839,5.41164605185504,0.401544401544402,8.29279885820037,8.58194171900471,3995,5334.4534853536
20,114,프랑스,기타,멜로,12세이상관람가,0,2.07944154167984,5.54517744447956,0.1875,8.29204763743135,8.43660348358517,3992,4612.86068962974
17,88,한국,기타,다큐멘터리,12세이상관람가,0,3.46573590279973,5.09375020080676,0.167300380228137,8.28953948462414,8.39060446292395,3982,4405.47983879155
45,119,일본,기타,드라마,12세이상관람가,0,2.83321334405622,5.54907608489522,0.4375,8.28526113406895,8.63931695634883,3965,5649.4696718679
