"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"터널","2016-08-10","8","3",126,"한국","기타","드라마","12세이상관람가","0",545,14152,"1",7118592
"어벤져스","2012-04-26","4","2",142,"미국","기타","액션","12세이상관람가","1",1258,0,"0",7074867
"내부자들","2015-11-19","11","4",130,"한국","기타","범죄","청소년관람불가","0",1309,12198,"1",7071763
"인천상륙작전","2016-07-27","7","3",110,"한국","씨제이이앤엠(주)","전쟁","12세이상관람가","0",2063,35317,"0",7049643
"럭키","2016-10-13","10","4",112,"한국","기타","코미디","15세이상관람가","0",2144,15767,"0",6965706
"은밀하게 위대하게","2013-06-05","6","2",123,"한국","기타","액션","15세이상관람가","0",12880,0,"0",6953800
"곡성","2016-05-12","5","2",156,"한국","이십세기폭스코리아(주)","미스터리","15세이상관람가","0",806,15570,"0",6878264
"범죄도시","2017-10-03","10","4",121,"한국","기타","범죄","청소년관람불가","0",1208,7567,"0",6851297
"늑대소년","2012-10-31","10","4",124,"한국","씨제이이앤엠(주)","멜로","15세이상관람가","0",1166,0,"0",6654837
"군함도","2017-07-26","7","3",132,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",3366,97770,"0",6592151
"미션 임파서블: 폴아웃","2018-07-25","7","3",147,"미국","기타","액션","15세이상관람가","1",177,1403,"0",6584915
"다크 나이트 라이즈","2012-07-19","7","3",164,"미국","워너브러더스 코리아(주)","액션","15세이상관람가","1",1801,0,"0",6396528
"아저씨","2010-08-04","8","3",119,"한국","기타","액션","청소년관람불가","0",626,0,"0",6282774
"사도","2015-09-16","9","3",125,"한국","기타","사극","12세이상관람가","0",556,22459,"0",6246849
"미션 임파서블: 로그네이션","2015-07-30","7","3",131,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","1",408,8626,"0",6126488
"킹스맨 : 시크릿 에이전트","2015-02-11","2","1",128,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",168,2480,"1",6125154
"연평해전","2015-06-24","6","2",130,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","12세이상관람가","0",5242,28626,"0",6043458
