TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC,CMT_SCORE
드래곤 헌터,2013-01-24,1,1,4,82.0,프랑스,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,,146.0,0.0,0.0,34984,0.4246913580246914
피터와 모글리의 크리스마스 어드벤처,2017-11-23,11,4,47,75.0,인도,기타,애니메이션,전체관람가,0.0,158.0,219.0,0.0,34899,0.5153508771929824
"오늘 밤, 로맨스 극장에서",2018-07-11,7,3,28,108.0,일본,기타,판타지,전체관람가,0.0,34.0,425.0,1.0,34897,0.1111111111111111
몬스터 왕국,2014-05-01,5,2,18,78.0,스웨덴,씨너스엔터테인먼트(주),애니메이션,전체관람가,,105.0,175.0,0.0,34888,0.3762376237623761
누구의 딸도 아닌 해원,2013-02-28,2,1,9,90.0,한국,기타,드라마,청소년관람불가,0.0,56.0,0.0,0.0,34876,0.21212121212121213
펭귄 하이웨이,2018-10-18,10,4,42,117.0,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,0.0,30.0,165.0,1.0,34795,0.3311688311688312
뫼비우스,2013-09-05,9,3,36,87.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년관람불가,0.0,416.0,0.0,0.0,34740,0.22955854126679465
더 헌트,2013-01-24,1,1,4,115.0,덴마크,기타,드라마,15세이상관람가,,191.0,0.0,0.0,34724,0.384526558891455
서태지밴드 라이브 투어 <더 뫼비우스>,2010-05-21,5,2,20,87.0,한국,기타,다큐멘터리,전체관람가,,230.0,0.0,0.0,34688,0.34210526315789475
하비의 마지막 로맨스,2010-10-28,10,4,43,92.0,미국,기타,멜로,12세이상관람가,,125.0,0.0,0.0,34670,0.5649038461538461
빠삐용,2019-02-27,2,1,9,133.0,미국,기타,범죄,15세이상관람가,0.0,116.0,202.0,0.0,34631,0.39669421487603307
음모자,2011-06-30,6,2,26,123.0,미국,판씨네마(주),드라마,12세이상관람가,,15.0,0.0,0.0,34625,0.3191489361702128
