영화제목,개봉일,키워드,수상내역
극장판 프랭키와 친구들: 생명의 나무,2016-04-13,"생명의 나무,모험,애니메이션",
극장판 프리! - 타임리스 메들리 - 약속,2018-04-12,"TV애니메이션원작,극장판,수영부,학원물",
극장판 프리! - 타임리스 메들리 - 인연,2018-04-12,"TV애니메이션원작,극장판,학원물,수영부,시리즈",
극장판 프리! - 테이크 유어 마크 -,2018-04-12,"TV애니메이션원작,극장판,고등학교,수영선수,쿄애니,학원물",
극장판 프리즘스톤 올스타 셀렉션,2016-07-07,"피겨스케이팅,패션,댄스,노래,프리즘쇼",
극장판 프리크리 : 얼터너티브,2019-05-17,"비디오 애니메이션 원작,극장판,후속편,성장기,신비한힘,외계인,옴니버스애니메이션",
극장판 프리크리 : 프로그레시브,2019-05-31,"극장판,성장기,비디오 애니메이션 원작,후속편",
극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,"게임원작,아이돌",
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,,
극장판 헌터X헌터: 더 라스트 미션,2014-05-22,"애니메이션,일본만화원작,올림픽,사투",
극장판 헌터X헌터: 팬텀루즈,2013-06-27,"우정,복수,생존자,소년",
극장판 헬로카봇 : 백악기 시대,2018-08-01,"공룡로보트,백악기,모험판타지",
극장판 헬로카봇:옴파로스 섬의 비밀,2019-01-31,"TV애니메이션원작,변신로봇,비밀친구,신비의섬,인간과동물",
극장판: 타이거 앤 버니 -더 라이징-,2014-06-19,"정의,초능력자,히어로",
극장판: 타이거 앤 버니 -더 비기닝-,2013-02-28,"초능력자,미래도시,히어로,평화,도난",
극적인 하룻밤,2015-12-03,"연극원작,한국연극원작,옛애인,원나잇스탠드,결혼식,썸",
극한영웅,2019-03-21,"노력영웅,허세,지망생,만화원작,의욕충만",
극한직업,2019-01-23,"잠복근무,마약단속반,위장경찰,위장취업,형사,경찰,마약범죄단,마약밀매업자,마약상,맛집,패키지여행",
근거리 연애,2017-09-14,,
근친의 사랑2:며느리와 가사도우미,2017-12-25,,
글래디에이터: 로마 영웅 탄생의 비밀 3D,2013-07-25,"로마,용사,훈련,도전",
글래스,2019-01-17,"초능력자,설계,후속편,특별한 능력,연결된 세계관",
글러브,2011-01-20,"고교야구,도전,스포츠,실화바탕,실화바탕,야구,야구감독,야구부,야구선수,야구스타,전국대회,청각장애,코치,투수,홈런,고교야구부,허각,존박",
글로리데이,2016-03-24,"청춘영화,포항배경,포항,20대,군입대,재수생,야구부,바다여행,누명",
글로리아,2013-12-05,"감정,독립,사랑,진실,칠레,행복,희망,여성,중년,연애",베를린국제영화제(2013) : 은곰상:여자연기상 - 폴리나 가르시아|베를린국제영화제(2013) : 독일예술영화조합상 -|베를린국제영화제(2013) : 에큐메니칼 심사위원상:경쟁부문 -
글로리아 벨,2019-06-06,"리메이크,운명적사랑,꿈과현실,현실의벽,삶과 현실,여자의 행복,영화원작,이혼,중년여자,새로운사랑",
글루미 선데이,2016-11-03,"소설원작, 실화바탕, 로맨스, 레스토랑, 피아노, 질투, 자살",
금단의 유혹,2010-05-27,,
금병매,2010-12-09,"중국,고대소설,비구니",
"금붕어, 여자",2016-10-27,,
금의위: 14검의 비밀,2012-06-14,"누명,명나라,황제,비밀",
금의위: 용태자의 난,2019-05-30,"명나라,황제,왕위찬탈,무사,암살,반역",
"금지된 섹스, 달콤한 복수",2016-01-14,"여행,쌍쌍데이트,비교,끌림",
"금지된 섹스, 불륜 2",2012-11-22,"묘령의여인,유혹,커플,혼전순결,오랜연인,오래된연인,낯선여자,불륜,금지된사랑,섹스,커플여행",
금지된 알바,2014-01-01,,
금지된 정사,2011-01-27,"불륜,형제,스와핑",
기동전사 건담 내러티브,2019-05-24,"건담,기적,SF물,행방불명",
기동전사 건담 디 오리진 Ⅵ,2018-06-13,"우주전쟁,우주배경,건담,로봇,거대로봇,전투",
기동전사 건담 썬더볼트 디셈버 스카이,2018-09-06,"TV애니메이션원작,극장판,우주전쟁,숙명",
기동전사 건담 썬더볼트 밴디트 플라워,2018-09-13,"정보요원,비밀첩보원,지구탐색,작전 투입",
기묘한 가족,2019-02-13,"시골마을,좀비,패밀리 비즈니스,혈기왕성,새로운 가족,엽기가족,가족사업",
기문둔갑,2018-08-30,"무술,무술고수,요괴,무협판타지,홍콩영화리메이크",
기생:꽃의고백,2018-01-25,"기생,해어화,인간문화재",
기생령,2011-08-04,"독,미아,불임,살인사건,원한,자매,진실,가족부양,가족사,무당,조카,고아,악몽,주술,봉인,원혼,영혼,임신",황금촬영상 시상식(2011) : 최우수 인기여우상 - 한은정
기생수 파트1,2015-02-26,"만화원작,일본만화원작,괴생명체,기생",
기생수 파트2,2015-05-07,,
기생충,2019-05-30,"두가족,해외영화제수상작,황금종려상,백수,과외선생님,모스부호,냄새,장남,수석,물난리,빈부격차,인디언,생일파티,CCTV,학력위조,반지하,면접,알러지,캠핑",칸국제영화제(2019) : 황금종려상 - 봉준호
기숙학교: 금지된 일탈,2017-02-16,,
기술자들,2014-12-24,"금고털이,범죄,조직,해커,하이스트무비(Heist Movie)",황금촬영상 시상식(2015) : 촬영상-신인상 -
기억속에 퍼즐,2014-01-23,"죽음,추적,기억,알츠하이머,정신병원",
기억을 만나다,2018-03-31,"VR영화,4dx,뮤지션,배우지망생,로맨스",
기억의 밤,2017-11-29,"이사,납치,기억상실,살인사건",황금촬영상 시상식(2018) : 심사위원특별상 - 나영희
기억의 소리,2016-12-15,"자매,죄의식,환영,환청,두자매,전생,여배우,기억,소리",황금촬영상 시상식(2017) : 촬영상-은상 - 최찬규|2012년 부산국제영화제 :  한국영화의 오늘 - 비전  부문 초청  2012년 한국예술평론가협의회 :  심사위원 선정 특별상 - 영화부문  수상
기연출사,2014-03-13,"히말라야,추장,딸,네팔,초능력,사원",
기이한 춤 : 기무,2011-03-26,"재개발,철거,건축물,기무사,실험다큐멘터리",
기적: 그 날의 소비토,2017-10-19,,
기적의 오케스트라-엘 시스테마,2010-08-12,"마약,오케스트라,악순환,악기,베네주엘라",
기적의 피아노,2017-10-26,"파병,실종,아동보호소,고아원,모금,콘서트,음악",
기적의 피아노,2015-09-03,"장애아동,시각장애인,피아노",
기타가 웃는다,2011-11-17,"고향,음악,락커,락,락가수,락밴드,치매,치매노인,할머니,가족,가족부양,버림",
기화,2015-02-26,,
길,2017-05-11,"인연,새로운삶,새로운사랑,이야기",
길위에서,2013-05-23,"비구니,템플스테이,300일,다큐멘터리",
길티 오브 로맨스; 욕정의 미스터리,,"소설가,아내,러브호텔,에로비디오,시부야",시체스 국제판타스틱 영화제(2011) : orbita 부문 작품상 - 소노 시온
길티 오브 마인드,,"연쇄살인마,버디무비,투캅스,범죄프로파일러,흡혈귀,강력계형사",
김광석,2017-08-30,"가수,사망,미스테리,포크가수",부천국제판타스틱영화제(2016) : 특별언급 - 이상호
김군,2019-05-23,"광주민주항쟁,5.18민주화운동,5.18,518,518민주화운동,북한특수군,역사의진실,공개수배,시민군",서울독립영화제(2018) : 대상 - 강상우|무주산골영화제(2019) : 무주관객상 - 강상우
김복남 살인사건의 전말,2010-09-02,"복수,섬,성폭력,낫,섬마을,살해,고향,고향친구,가해자,방관자,딸,어머니와딸,엄마와딸,가짜범인,범인,살인누명,누명",부천국제판타스틱영화제(2010) : 부천초이스여우주연상(장편) - 서영희|부천국제판타스틱영화제(2010) : 부천초이스작품상(장편) - 장철수|부천국제판타스틱영화제(2010) : 후지필름 이터나상 - 장철수|대한민국 영화대상(2010) : 신인감독상 - 장철수|대한민국 영화대상(2010) : 여우주연상 - 서영희|황금촬영상 시상식(2011) : 촬영상-동상 - 김기태|황금촬영상 시상식(2011) : 작품상 - 장철수|대종상 영화제(2010) : 신인감독상 - 장철수|한국영화평론가협회상 (영평상)(2010) : 여자연기자상 - 서영희|한국영화평론가협회상 (영평상)(2010) : 신인감독상 - 장철수|시네마디지털서울 영화제(2010) : 버터플라이상 - 장철수|시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 장철수|올해의 영화상(2011) : 여우주연상 -
김정일리아,2011-06-23,"김정일,북한,꽃,탈북,전체주의",
김종욱 찾기,2010-12-08,"무대감독,뮤지컬원작,배낭여행,여행,여행사,여행사직원,연출가,의뢰,의뢰인,인도,첫사랑,추억,고객,낯선나라에서",
깊은 사랑,2012-12-12,"생일,암,연인,이별,남녀,남녀관계,창녀,사랑,섹스",
깊은 사정,2017-02-27,,
까미유 끌로델,2013-10-24,"감금,고립,예술가,정신병원,조각가,프랑스,전기영화,실존인물",
까밀 리와인드,2013-07-18,"40대,과거,이혼,타임리프,현실,시간여행",로카르노국제영화제(2012) : 버라이어티 피아자 - 노에미 르보브스키
까시,2016-10-27,"과거,회상,과거회상,60대,노인,20대여자",
까페 6,2016-11-16,,
깔깔깔 희망버스,2012-09-27,"희망버스,크레인,카메라,트위터",
깡철이,2013-10-02,"엄마,치료비,치매,희망,부산",
깡치,2016-09-08,"청소년,고등학생,방황,일진,청소년탈선,느와르,좌절,패싸움",
깨끗하고 연약한,2014-10-30,,
꺼져버려 종양군,2016-05-12,,
꼬마 니콜라,2010-01-28,"소설원작,악동,말썽꾸러기,동생,소풍",
꼬마 니콜라의 여름방학,2014-08-21,"바캉스,여름방학,이별",
꼬마 보트 토토: 타요 타요 배 타요,2018-07-12,"모험,우정,애니메이션,도시생활,구조대,항구도시",
꼬마 비행기 피티와 친구들: 사막구출 대작전,2018-11-22,"꼬마,비행기",
꼬마 유령,2015-06-11,,
꼬마기사 트랭크,2016-06-16,,
꼬마돼지 베이브의 대모험,2017-06-15,"아기돼지,애니메이션",
꼬마마녀 요요와 네네,2013-12-25,"마법,인간세계,해결,도전,의뢰,전쟁",
꼬마영웅 경찰차 프로디,2013-04-11,"마을,경찰차,폭풍우,악당,안전",
꼬마영웅 경찰차 프로디 2,2014-03-20,"시리즈,경찰차,동물,악당,구출,보호",
꼬마영웅 바비,2018-05-30,"동물캐릭터,동물용사,고슴도치,3D애니메이션",
꼬마잠수함 올리,2014-10-16,,
꼬마잠수함 올리2,2014-12-04,,
꼬마참새 리차드: 아프리카 원정대,2017-06-15,,
꼬장꼬장 슈콜닉 교수의 남모를 비밀,2016-02-11,,칸국제영화제(2011) : 각본상 - 조지프 세더
꼭 껴안고 눈물 핑,2011-03-10,"바람기,부부관계,연극,외도,남편의외도,부부,결혼,결혼생활",제14회 부산국제영화제 비전부문 상영(2009)
꼭두각시,2013-06-20,"인형,정신과의사,주술,최면술,환영,인형디자이너,환각,환각증세,욕망,트라우마",
꼼:수행,,"고원지대,수행,티베트,평화,불교,승려,수행자,자비심,종교",
꽃과 나비,2012-08-30,"문신,여제자,아버지와딸,질투",
꽃과 뱀3,2014-11-20,,
꽃비,2010-04-01,"4.3항쟁,고등학생,전학생,제주도,43항쟁,제주도항쟁,경쟁,전학,반장선거,반장,전쟁",
"꽃잎,춤",2013-11-21,"로드무비,대학동창,친구,여행",
꽃찌...독이있는 사랑,2018-08-23,"문학,문예영화,해학.풍자",
꾸루꾸루와 친구들 :무지개 나무의 비밀,2015-11-19,,
꾸뻬씨의 행복여행,2014-11-27,"소설원작,행복,불행,정신과의사",
꾼,2017-11-22,"사기꾼,검사,부패권력,사기단,팀플레이",
꿀벌 하치의 대모험,2011-01-13,"꿀벌,말벌,여행,우정,친구",
꿈보다 해몽,2015-02-12,"꿈,여배우,형사",부산국제영화제(2014) : CGV 무비꼴라주상  - 이광국|서울독립영화제(2014) : 최우수작품상 - 이광국|시네마테크KOFA가 주목한 한국영화(2016) : 선정작 - 이광국
꿈속의 성애,2012-01-19,"이사,악몽,악령",
꿈은 이루어진다,2010-05-27,"군대,군인,북한,비무장지대,월드컵,축구,축구공,사상,남한,남북문제,남북분단,축구팬,병사,부대,2002한일월드컵,2002년월드컵",
꿈의 공장,2011-09-01,"기타,브랜드,노동자투쟁,대전,공장,부당해고",인디다큐페스티발(2011) : 진보상 - 김성균
꿈의 제인,2017-05-31,"가출소녀,가출팸,가출청소년,트랜스젠더,외톨이,성소수자,사회적약자","부산국제영화제(2016) : 올해의 배우상 - 구교환, 이민지|부산국제영화제(2016) : CGV아트하우스상 - 조현훈|서울독립영화제(2016) : 관객상 - 조현훈|부산영화평론가협회상(2017) : 신인남우상 - 구교환|백상예술대상(2018) : 영화부문 남자 신인 연기상 - 구교환|시네마테크KOFA가 주목한 한국영화(2018) : 선정작 - 조현훈|부일영화상(2017) : 신인 남자연기상 - 구교환|부일영화상(2017) : 음악상 - 플래시 플러드 달링스|올해의 영화상(2018) : 독립영화상 - 조현훈|들꽃영화상(2018) : 여우주연상 - 이민지|들꽃영화상(2018) : 음악상 - 플래시 플러드 달링스|들꽃영화상(2018) : 시나리오상 - 조현훈, 김소미|들꽃영화상(2018) : 촬영상 - 조영직"
꿍따리 유랑단,2011-12-01,장애인,
끌로끌로,2012-10-04,"유복한집안,가난,가수,스타",
끝까지 간다,2014-05-29,"교통사고,목격자,뺑소니,은폐,형사,비리경찰,비리형사,경찰,악질경찰","백상예술대상(2015) : 영화 남자최우수연기상 - 이선균, 조진웅|백상예술대상(2015) : 영화 감독상 - 김성훈|청룡영화상(2014) : 기술상 - 김창주|청룡영화상(2014) : 각본상 - 김성훈|청룡영화상(2014) : 남우조연상 - 조진웅|대종상 영화제(2014) : 촬영상 - 김태성|대종상 영화제(2014) : 감독상 - 김성훈|대종상 영화제(2014) : 조명상 - 김경석|춘사영화제(2015) : 최우수감독상 - 김성훈|시네마테크KOFA가 주목한 한국영화(2015) : 선정작 -|올해의 영화상(2015) : 감독상 -|한국영화제작가협회상(2014) : 편집상 - 김창주|한국영화제작가협회상(2014) : 작품상 -|한국영화제작가협회상(2014) : 감독상 - 김성훈"
"나 홀로, 후쿠시마",2016-05-26,,
"나, 다니엘 블레이크",2016-12-08,,칸국제영화제(2016) : 황금종려상 - 켄 로치|로카르노국제영화제(2016) : UBS 관객상 - 켄 로치|제69회 로카르노영화제 관객상   제64회 산세바스티안국제영화제 관객상
나가요 미스콜,2014-03-13,,
나나나: 여배우 민낯 프로젝트,2012-08-23,"셀프카메라,여배우,해외여행,외로움,영화",
나넬 모차르트,2011-09-15,"모차르트,누나,순회공연,열정,작곡",
나는 고양이로소이다,2017-06-08,"길고양이,섬,마을,여행",
나는 공무원이다,2012-07-12,"공무원,위기,인디밴드,환경,홍대,일상,일상탈출,일상의반복",
나는 나비,2010-12-02,"락밴드,락커,미국,유랑생활,록페스티벌,윤도현밴드,로드무비,음악다큐멘터리,뮤직페스티발,록뮤직",
"나는 내일, 어제의 너와 만난다",2017-10-12,"소설원작,일본소설원작,시간여행",
