MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
투와이스본,2014-10-30,드라마/멜로/로맨스,,드라마/로맨스/멜로,
위층여자,2014-10-29,멜로/로맨스/코미디,,로맨스/멜로/코미디,
맨헌트,2018-01-25,액션/범죄,,범죄/액션,
조지해리슨,2012-07-19,다큐멘터리,,다큐멘터리,
어머니,2012-04-05,다큐멘터리,ko,다큐멘터리,ko
1월의두얼굴,2014-09-11,스릴러,,스릴러,
철원기행,2016-04-21,드라마,ko,드라마,ko
사랑에빠진것처럼,2013-10-17,드라마,,드라마,
미스터하이네켄,2015-09-17,액션/스릴러,,스릴러/액션,
아웃사이더,2015-06-21,액션/범죄,,범죄/액션,
뮤지컬쉬러브즈미,2017-07-06,공연,,공연,
디아틀로프,2013-06-13,스릴러,,스릴러,
델타보이즈,2017-06-08,드라마/코미디,ko,드라마/코미디,ko
악인,2011-06-09,드라마,,드라마,
마셰티,2011-04-21,액션,,액션,
은혼2규칙은깨라고있는것,2018-12-13,코미디/액션,,액션/코미디,
퍼미션,2019-02-27,코미디/드라마/멜로/로맨스,en,드라마/로맨스/멜로/코미디,en
프리다의그해여름,2018-10-25,드라마,,드라마,
새벽의약속,2018-11-22,드라마,,드라마,
데스티네이션웨딩,2018-12-13,코미디/멜로/로맨스,,로맨스/멜로/코미디,
적도,2015-05-28,액션,cn/zh/ko,액션,cn/ko/zh
침입자들로봇의역습,2014-05-15,액션/드라마/SF,en,SF/드라마/액션,en
아버지를마지막으로본것은언제입니까,2010-05-27,드라마/가족,,가족/드라마,
더덴,2014-11-20,공포(호러)/스릴러,,공포(호러)/스릴러,
나의서른에게,2017-11-23,드라마,cn,드라마,cn
러브앤아트,2017-11-09,멜로/로맨스/드라마,,드라마/로맨스/멜로,
해피해피와이너리,2015-03-12,코미디,,코미디,
커피한잔이섹스에미치는영향,2014-06-26,드라마,,드라마,
맥코리아,2012-10-18,다큐멘터리,ko,다큐멘터리,ko
포제션중독된사랑,2015-06-21,미스터리/멜로/로맨스/스릴러,en,로맨스/멜로/미스터리/스릴러,en
우리에겐교황이있다,2013-05-02,드라마/코미디,,드라마/코미디,
애정만세,2011-06-09,멜로/로맨스,ko,로맨스/멜로,ko
나는다른언어로꿈을꾼다,2019-03-07,드라마,es,드라마,es
래미의초특급시간여행,2019-02-27,애니메이션,,애니메이션,
파이널리스트,2019-01-24,다큐멘터리,,다큐멘터리,
영춘권무림절대고수,2013-07-19,액션/코미디,,액션/코미디,
아버지를위한노래,2012-05-03,범죄/드라마/스릴러,,드라마/범죄/스릴러,
대관람차,2018-08-30,드라마,ja/ko,드라마,ja/ko
스킨트레이드,2015-08-20,액션/스릴러,th/en,스릴러/액션,en/th
