MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
제보자,2014-10-02,한국,메가박스중앙(주)플러스엠
씽,2016-12-21,미국,유니버설픽쳐스인터내셔널 코리아(유)
러브픽션,2012-02-29,한국,(주)넥스트엔터테인먼트월드(NEW)
킬러의보디가드,2017-08-30,미국,(주)제이앤씨미디어그룹/TCO(주)더콘텐츠온
언터처블1의우정,2012-03-22,프랑스,(주)넥스트엔터테인먼트월드(NEW)
평양성,2011-01-27,한국,롯데쇼핑㈜롯데엔터테인먼트
샌안드레아스,2015-06-03,미국,워너브러더스 코리아(주)
파파로티,2013-03-14,한국,(주)쇼박스
쥬만지새로운세계,2018-01-03,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
쎄시봉,2015-02-05,한국,씨제이이앤엠(주)
토르천둥의신,2011-04-28,미국,씨제이이앤엠(주)
콩스컬아일랜드,2017-03-08,미국,워너브러더스 코리아(주)
피끓는청춘,2014-01-22,한국,롯데쇼핑㈜롯데엔터테인먼트
23아이덴티티,2017-02-22,미국,유니버설픽쳐스인터내셔널 코리아(유)
pmc더벙커,2018-12-26,한국,씨제이이앤엠(주)
마다가스카의펭귄,2014-12-31,미국,씨제이이앤엠(주)
아이스에이지4대륙이동설,2012-07-25,미국,이십세기폭스코리아(주)
공모자들,2012-08-29,한국,씨너스엔터테인먼트(주)/타임스토리그룹(주)
그대를사랑합니다,2011-02-17,한국,(주)넥스트엔터테인먼트월드(NEW)
임금님의사건수첩,2017-04-26,한국,씨제이이앤엠(주)
마다가스카3이번엔서커스다,2012-06-06,미국,씨제이이앤엠(주)
블랙스완,2011-02-24,미국,이십세기폭스코리아(주)
분노의질주언리미티드,2011-04-20,미국,유니버설픽쳐스인터내셔널 코리아(유)
우아한거짓말,2014-03-13,한국,CGV아트하우스
하울링,2012-02-16,한국,씨제이이앤엠(주)
두근두근내인생,2014-09-03,한국,씨제이이앤엠(주)
걸캅스,2019-05-09,한국,씨제이이앤엠(주)
스타트렉다크니스,2013-05-30,미국,씨제이이앤엠(주)
창궐,2018-10-25,한국,(주)넥스트엔터테인먼트월드(NEW)
로빈후드,2010-05-13,미국,유니버설픽쳐스인터내셔널 코리아(유)
더폰,2015-10-22,한국,(주)넥스트엔터테인먼트월드(NEW)
성난황소,2018-11-22,한국,(주)쇼박스
300제국의부활,2014-03-06,미국,워너브러더스 코리아(주)
라이프오브파이,2013-01-01,미국,주식회사 해리슨앤컴퍼니/이십세기폭스코리아(주)
무적자,2010-09-16,한국/홍콩/일본/태국,씨제이엔터테인먼트
위플래쉬,2015-03-12,미국,(주)쇼박스
범블비,2018-12-25,미국,롯데컬처웍스(주)롯데엔터테인먼트
용의자x,2012-10-18,한국,씨제이이앤엠(주)
도어락,2018-12-05,한국,메가박스중앙(주)플러스엠
오블리비언,2013-04-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
몬스터호텔2,2015-12-24,미국,유니버설픽쳐스인터내셔널 코리아(유)
엑소더스신들과왕들,2014-12-03,미국/영국/스페인,이십세기폭스코리아(주)
퍼펙트게임,2011-12-21,한국,롯데쇼핑㈜롯데엔터테인먼트
드래곤길들이기3,2019-01-30,미국,유니버설픽쳐스인터내셔널 코리아(유)
리틀포레스트,2018-02-28,한국,메가박스중앙(주)플러스엠
인디펜던스데이리써전스,2016-06-22,미국,이십세기폭스코리아(주)
토이스토리3,2010-08-05,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
차이나타운,2015-04-29,한국,CGV아트하우스
스윙키즈,2018-12-19,한국,(주)넥스트엔터테인먼트월드(NEW)
부라더,2017-11-02,한국,메가박스중앙(주)플러스엠
해무,2014-08-13,한국,(주)넥스트엔터테인먼트월드(NEW)
브레이킹던part1,2011-11-30,미국,(주)넥스트엔터테인먼트월드(NEW)
새미의어드벤쳐2,2012-08-01,벨기에,씨제이이앤엠(주)
위대한개츠비,2013-05-16,미국/호주,워너브러더스 코리아(주)
인간중독,2014-05-14,한국,(주)넥스트엔터테인먼트월드(NEW)
다이하드굿데이투다이,2013-02-06,미국,이십세기폭스코리아(주)
나의특별한형제,2019-05-01,한국,(주)넥스트엔터테인먼트월드(NEW)
탐정홍길동사라진마을,2016-05-04,한국,씨제이이앤엠(주)
런닝맨,2013-04-04,한국/미국,이십세기폭스코리아(주)
구르믈버서난달처럼,2010-04-28,한국,에스케이텔레콤(주)
위대한쇼맨,2017-12-20,미국,이십세기폭스코리아(주)
벤허,2016-09-14,미국,롯데쇼핑㈜롯데엔터테인먼트
말레피센트,2014-05-29,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
라스트에어벤더,2010-08-19,미국,씨제이엔터테인먼트
기억의밤,2017-11-29,한국,메가박스중앙(주)플러스엠/주식회사 키위컴퍼니
골든슬럼버,2018-02-14,한국,씨제이이앤엠(주)
램페이지,2018-04-12,미국,워너브러더스 코리아(주)
해피데스데이,2017-11-08,미국,유니버설픽쳐스인터내셔널 코리아(유)
폼페이최후의날,2014-02-20,미국/독일,롯데쇼핑㈜롯데엔터테인먼트
브이아이피,2017-08-23,한국,워너브러더스 코리아(주)
특별시민,2017-04-26,한국,(주)쇼박스
퓨리,2014-11-20,미국/영국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
차형사,2012-05-30,한국,씨제이이앤엠(주)
은교,2012-04-25,한국,롯데쇼핑㈜롯데엔터테인먼트
궁합,2018-02-28,한국,씨제이이앤엠(주)
신들의전쟁,2011-11-10,미국,(주)넥스트엔터테인먼트월드(NEW)
오션스8,2018-06-13,미국,워너브러더스 코리아(주)
미스터고,2013-07-17,한국/중국,(주)쇼박스
굿다이노,2016-01-07,미국,월트디즈니컴퍼니코리아(주)
드라큘라전설의시작,2014-10-08,미국,유니버설픽쳐스인터내셔널 코리아(유)
사라진밤,2018-03-07,한국,씨네그루(주)키다리이엔티
가디언즈오브갤럭시,2014-07-31,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
간첩,2012-09-20,한국,롯데쇼핑㈜롯데엔터테인먼트
월드인베이젼,2011-03-10,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
